"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TTK",1214.56366629849,5.41052335835987,1.01277763127327,5.34226190556534,6.65716528628125e-06,0.000537581650991711
"XPNPEP2",279.002194276705,-4.08474755616013,0.88749213994191,-4.6025732198907,0.000254668484048414,0.00952714700037531
"ZBTB16",797.466622797598,-5.79744194426371,1.0648933299434,-5.44415274398598,3.31730336198128e-06,0.000293981125119993
"SLC14A2",88.6739283430557,-4.91214031393409,0.785119601792324,-6.25655034305643,3.13257967985633e-07,4.13237476699216e-05
"CDC45",530.796185421039,4.77916446110699,1.08627552845944,4.39958770670715,0.000251685845446437,0.00947578016374703
"FZD4",19675.1644977309,-4.24922736000446,0.692327976518105,-6.13759302545438,1.34488138439169e-06,0.000139455836534517
"SRPX",4086.36802378026,-3.06365512363873,0.521998088233783,-5.86909261297262,3.85279761967851e-05,0.00229026786298748
"SDPR",4264.41453264075,-4.58746440317871,0.553648368068013,-8.2858808365803,4.59585958862625e-11,2.20614026530695e-08
"RAD54L",320.168622498639,4.36018180775118,0.857742635946408,5.08332176229095,4.47416299987609e-05,0.00260330002696494
"PDE8B",696.816155096766,-4.3234928979856,0.645924599133423,-6.69349472645263,1.33528026366398e-07,2.02755330494285e-05
"HSD17B6",155.515902218699,3.65761332166704,0.432595684947221,8.45503884791011,4.03838313721019e-10,1.48483614881126e-07
"AOC3",32124.0891195427,-5.25064802771697,0.772661371627582,-6.79553582011829,1.88492216036978e-08,4.02139998189509e-06
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378591113,-6.61717626234501,3.2475870568597e-06,0.000289286350152539
"SLC4A4",962.814312160039,-5.66047885638663,0.770630272863089,-7.34525888187147,7.35007008421782e-10,2.44262617548785e-07
"MYOM1",1122.55085079275,-5.10542203863512,0.695592602663912,-7.33967270365279,1.79506599271489e-09,5.11995762439019e-07
"WISP1",528.510705495486,3.64148679375128,0.689543331100617,5.28101227219312,6.38696046884601e-05,0.0033753230538877
"ALDH1A2",528.609996207033,-3.11422480783423,0.577059389182465,-5.39671456043065,0.000124254952468599,0.00551992245143921
"GYG2",16229.7439068974,-5.46889443504282,0.893277207669778,-6.12228140165929,2.82506138219961e-07,3.81405357388995e-05
"PRC1",2163.00431301221,3.3554879641761,0.673776173406967,4.9801226232281,0.000236188455619375,0.00909036236427264
"ANGPTL1",943.040794603902,-3.66743840501369,0.736712659216136,-4.97811237411864,0.000146886000696375,0.00620620288027888
"PKMYT1",729.955896047097,5.72966304731151,1.03190299634589,5.55252099044291,2.28700131703571e-06,0.000220791451171475
"CCNB2",912.058721943732,4.57843737939068,0.855821174370766,5.34975940827467,1.44929657365299e-05,0.00102225690160397
"CCNE2",608.937438741978,3.70809347209238,0.743462085535143,4.98760265551847,0.000134978448284952,0.00581686425140215
"SYNGR3",98.1091890166674,4.36989942106479,0.725847769194162,6.02040759306358,1.7193589093865e-06,0.000171747059613342
"EXO1",696.540255002303,5.05652467319704,1.07857658763846,4.68814614664343,8.46281139009497e-05,0.00411960122907694
"SLC16A7",1205.67226949194,-4.9504648440304,0.9772120323555,-5.06590655878198,2.64328897843943e-05,0.00168556003086391
"AURKB",551.316550654997,5.35583125858411,1.02444169821996,5.22804886592399,1.05981491494943e-05,0.000799766879704851
"DLGAP2",34.8904417074478,-4.43290287976598,0.874947656412052,-5.06647780273421,4.36266744790804e-05,0.00255563580228132
"PTTG1",875.621673993093,4.48780270302127,0.871600866389809,5.14891950671166,3.14572363959416e-05,0.00195544065524556
"GPR37L1",57.4341906221157,5.40068536734059,1.03024086104083,5.24215799583449,9.70789934704158e-06,0.000745609816072113
"TRIP13",1341.66058942058,4.2345824045063,0.794172458790963,5.33206907093324,2.32160302641239e-05,0.00150825646238468
"GLP2R",27.2796121823226,-7.71526878943448,1.48249428853362,-5.20424857559882,2.95530540246708e-06,0.000271652301383158
"ADIPOQ",136397.929705801,-7.66862385723088,1.4704613960562,-5.21511403005767,2.88129016404231e-06,0.000267696641531265
"FHL5",342.806687742475,-3.67414732349286,0.519303086256775,-7.07515017863025,1.30596141464928e-07,2.01502850058519e-05
"ONECUT2",203.686456198779,4.85136609915809,1.00494626047995,4.82748808562274,6.34499112998332e-05,0.00336342919378042
"KIF23",1371.73213645486,4.21411103842224,0.806664538426812,5.22411837594939,3.38189636367844e-05,0.00207243088867827
"KIAA0101",565.935405815772,4.29970826443253,0.933964691574825,4.60371607537163,0.00020543403428315,0.00816116217574049
"DLGAP5",1043.59502883726,5.43354837614923,1.13608669223561,4.78268816392614,4.76147455933303e-05,0.00271561194256878
"MELK",1346.27162641355,5.51874899974594,0.984235249923934,5.60714422712705,2.20431271167592e-06,0.000214004089721751
"GINS1",776.775942223488,3.43882064002782,0.644792668350473,5.33321920180188,7.76826402867363e-05,0.00389111219360896
"KIF14",507.337154833664,4.95955297246546,1.01428444771914,4.88970621960951,4.73511836173878e-05,0.00270952253010622
"NAALAD2",439.984872743271,-4.56013909133816,0.705671487588893,-6.46212745100279,2.26716260155076e-07,3.18527129409745e-05
"TROAP",465.135483397121,5.00496555642854,0.970173735820576,5.15883431146003,1.82896624158563e-05,0.00122505293104036
"SGK2",520.860578045786,-4.05094163874773,0.881397484694679,-4.59604401997017,0.000268609899924542,0.00977231090651791
